pair_id,conversation_root_id,customer_tweet_id,customer_author_id,customer_text,customer_created_at,brand_tweet_id,brand_author_id,brand_text,brand_created_at,intent
2349662_2349661,2349662,2349662,679166,@SpotifyCares I am signed up for concert info for the @62471 but I have not received the email with the password for the presale! Please help!!!,Mon Nov 13 16:42:37 +0000 2017,2349661,SpotifyCares,@679166 Hey there! We've just sent you a DM 🙂 /DF,Mon Nov 13 17:18:02 +0000 2017,account_access_security
166653_166652,166653,166653,138145,"Weird activity on my @115888 so I go to change my password, if I access my account it shows me my DOB among other things - why show me my DOB, I know it, I don’t need anyone else to know it, useless element to my profile page #security #cybercrime #cyberaware",Fri Nov 24 19:00:58 +0000 2017,166652,SpotifyCares,@138145 Hey Dan! We’re sorry to hear that. We'd suggest to check out https://t.co/QHn3ok8y2n for what to do next. Let us know if we can help with anything else 🙂 /GN,Fri Nov 24 20:33:55 +0000 2017,account_access_security
760621_760620,760621,760621,301751,"@SpotifyCares had an email from you saying my email address had been changed, meant I couldn't log in to change password. Advise please",Wed Oct 11 19:34:00 +0000 2017,760620,SpotifyCares,@301751 Hi there! We've just replied to your DM. We'll carry on helping there /JX,Wed Oct 11 20:00:42 +0000 2017,account_access_security
110050_110049,110050,110050,140435,@SpotifyCares I have had trouble gaining premium access after my account email was compromised. Please help.,Thu Nov 23 19:51:52 +0000 2017,110049,SpotifyCares,"@140435 Hey, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TR https://t.co/ldFdZRiNAt",Thu Nov 23 20:08:10 +0000 2017,account_access_security
1978679_1978678,1978679,1978679,585850,. @12955 is about to lose out on a hundred thousand dollar #DigitalMarketing campaign cause they can't respond to a tweet or email https://t.co/WQtcgJmGuE,Tue Oct 31 19:11:50 +0000 2017,1978678,SpotifyCares,@585850 Hey Kent! Can you DM us the email address you used to reach out to the Brands team? We'll chase this up /K https://t.co/ldFdZRiNAt,Tue Oct 31 19:16:40 +0000 2017,account_access_security
2455446_2455445,2455446,2455446,703404,@SpotifyCares I need help. My account looks like it may have been compromised.,Wed Nov 15 02:53:20 +0000 2017,2455445,SpotifyCares,@703404 Hey! We just replied to your DM. Check your Messages /KC,Wed Nov 15 03:59:40 +0000 2017,account_access_security
1912283_1912282,1912283,1912283,569613,@116130 I've subscribed to Premium but your app won't let me log in. Please sort bug. Have re-installed and same issues.,Thu Oct 26 19:01:44 +0000 2017,1912282,SpotifyCares,"@569613 Hey Dan! Do you get an error message when trying to log in? Also, can you DM us your account's email address? We'll take a look /SJ https://t.co/ldFdZRiNAt",Thu Oct 26 19:27:55 +0000 2017,account_access_security
2018594_2018592,2018594,2018594,596973,@SpotifyCares yo how come my artist name has three separate accounts? also why am i not getting verified ):,Sat Nov 04 19:11:45 +0000 2017,2018592,SpotifyCares,@596973 Hi! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: https://t.co/p1wbtdWmz2 /GT,Sat Nov 04 22:11:14 +0000 2017,account_access_security
2045357_2045356,2045357,2045357,604882,@134924 @SpotifyCares New Gear Fit2 Pro. Spotify won't let me log into Spotify premium. The green loading circle just keeps going.,Wed Oct 04 19:38:30 +0000 2017,2045356,SpotifyCares,"@604882 Hi Ana, help has arrived! Can you DM us your account's email address or username? We'll take a look under the hood /ME https://t.co/ldFdZRiNAt",Wed Oct 04 21:17:08 +0000 2017,account_access_security
783046_783044,783046,783046,306911,@SpotifyCares Everytime the app updates and I have to log in again...all my synch'd files need to be re-synched...very bad for my purposes.,Tue Oct 10 04:26:17 +0000 2017,783044,SpotifyCares,"@306911 Hey Shane! Don't worry, help's here. Just to clarify, are you referring to local files or downloaded songs from the Spotify catalog? /MT",Tue Oct 10 04:29:32 +0000 2017,account_access_security
1231498_1231495,1231498,1231498,408853,"@SpotifyCares heya, do you know how long it will take to link my music to my artist profile? I sent an email on 19.10 with the correct links",Wed Oct 25 20:05:25 +0000 2017,1231495,SpotifyCares,"@408853 Hi, help's here! Can you give us more info on this? We'll see what we can suggest /DV",Wed Oct 25 21:02:10 +0000 2017,account_access_security
2264753_2264752,2264753,2264753,659244,Why @SpotifyCares? Can’t even log in? ☹️ https://t.co/biz3eUQxK5,Sat Nov 11 03:02:55 +0000 2017,2264752,SpotifyCares,@659244 Hey Olivia! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN https://t.co/ldFdZRiNAt,Sat Nov 11 04:52:15 +0000 2017,account_access_security
2913782_2913781,2913782,2913782,806595,@SpotifyCares trying to reset password and keep getting this screen. Please help https://t.co/s2qBSfMuMr,Tue Nov 28 22:41:23 +0000 2017,2913781,SpotifyCares,@806595 Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,Tue Nov 28 22:56:28 +0000 2017,account_access_security
